year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2002,ARGENTINA,AR,PUNILLA,AR-14091,CORDOBA,AR-14,103.9887621
2002,ARGENTINA,AR,QUEBRACHOS,AR-86140,SANTIAGO DEL ESTERO,AR-86,4171.367079
2002,ARGENTINA,AR,QUITILIPI,AR-22133,CHACO,AR-22,45.00824872
2002,ARGENTINA,AR,RAMON LISTA,AR-34063,FORMOSA,AR-34,696.2128622
2002,ARGENTINA,AR,RIO HONDO,AR-86147,SANTIAGO DEL ESTERO,AR-86,2886.801117
2002,ARGENTINA,AR,RIO SECO,AR-14112,CORDOBA,AR-14,8307.578927
2002,ARGENTINA,AR,RIVADAVIA,AR-66133,SALTA,AR-66,1396.164848
2002,ARGENTINA,AR,RIVADAVIA,AR-86154,SANTIAGO DEL ESTERO,AR-86,464.5539337
2002,ARGENTINA,AR,ROBLES,AR-86161,SANTIAGO DEL ESTERO,AR-86,2417.615721
2002,ARGENTINA,AR,ROSARIO DE LA FRONTERA,AR-66140,SALTA,AR-66,1009.362652
2002,ARGENTINA,AR,ROSARIO VERA PENALOZA,AR-46112,LA RIOJA,AR-46,94.43638825
2002,ARGENTINA,AR,SALAVINA,AR-86168,SANTIAGO DEL ESTERO,AR-86,1736.387462
2002,ARGENTINA,AR,SAN ALBERTO,AR-14126,CORDOBA,AR-14,801.281295
2002,ARGENTINA,AR,SAN COSME,AR-18133,CORRIENTES,AR-18,118.2346353
2002,ARGENTINA,AR,SAN FERNANDO,AR-22140,CHACO,AR-22,1873.505564
2002,ARGENTINA,AR,SAN JAVIER,AR-14133,CORDOBA,AR-14,525.4789928
2002,ARGENTINA,AR,SAN JUSTO,AR-82112,SANTA FE,AR-82,737.4456578
2002,ARGENTINA,AR,SAN LORENZO,AR-22147,CHACO,AR-22,326.4087098
2002,ARGENTINA,AR,SAN MARTIN,AR-86175,SANTIAGO DEL ESTERO,AR-86,471.3509796
2002,ARGENTINA,AR,SAN PEDRO,AR-38063,JUJUY,AR-38,185.9772017
2002,ARGENTINA,AR,SANTA ROSA,AR-10098,CATAMARCA,AR-10,6494.5614
2002,ARGENTINA,AR,SARGENTO CABRAL,AR-22154,CHACO,AR-22,80.24255173
2002,ARGENTINA,AR,SARMIENTO,AR-86182,SANTIAGO DEL ESTERO,AR-86,325.1495514
2002,ARGENTINA,AR,SILIPICA,AR-86189,SANTIAGO DEL ESTERO,AR-86,487.8255664
2002,ARGENTINA,AR,SIMOCA,AR-90091,TUCUMAN,AR-90,431.0484878
2002,ARGENTINA,AR,SOBREMONTE,AR-14154,CORDOBA,AR-14,1889.680627
2002,ARGENTINA,AR,TAPENAGA,AR-22161,CHACO,AR-22,4208.513705
2002,ARGENTINA,AR,TRANCAS,AR-90112,TUCUMAN,AR-90,307.1522351
2002,ARGENTINA,AR,TULUMBA,AR-14175,CORDOBA,AR-14,5615.056109
2002,ARGENTINA,AR,VALLE VIEJO,AR-10112,CATAMARCA,AR-10,7.090739407
2002,ARGENTINA,AR,VERA,AR-82133,SANTA FE,AR-82,20659.19411
2003,ARGENTINA,AR,12 DE OCTUBRE,AR-22036,CHACO,AR-22,9585.295499
2003,ARGENTINA,AR,1º DE MAYO,AR-22126,CHACO,AR-22,3244.861264
2003,ARGENTINA,AR,25 DE MAYO,AR-22168,CHACO,AR-22,14430.23787
2003,ARGENTINA,AR,2 DE ABRIL,AR-22039,CHACO,AR-22,1477.821816
2003,ARGENTINA,AR,9 DE JULIO,AR-22105,CHACO,AR-22,4316.797157
2003,ARGENTINA,AR,9 DE JULIO,AR-82077,SANTA FE,AR-82,7581.889414
2003,ARGENTINA,AR,AGUIRRE,AR-86007,SANTIAGO DEL ESTERO,AR-86,12044.4772
2003,ARGENTINA,AR,ALBERDI,AR-86014,SANTIAGO DEL ESTERO,AR-86,27245.25236
2003,ARGENTINA,AR,ALMIRANTE BROWN,AR-22007,CHACO,AR-22,18251.76202
2003,ARGENTINA,AR,AMBATO,AR-10007,CATAMARCA,AR-10,23.36711044
2003,ARGENTINA,AR,ANCASTI,AR-10014,CATAMARCA,AR-10,45.16120909
2003,ARGENTINA,AR,ANTA,AR-66007,SALTA,AR-66,27476.80999
2003,ARGENTINA,AR,ATAMISQUI,AR-86021,SANTIAGO DEL ESTERO,AR-86,1049.109423
2003,ARGENTINA,AR,AVELLANEDA,AR-86028,SANTIAGO DEL ESTERO,AR-86,1875.358206
2003,ARGENTINA,AR,AYACUCHO,AR-74007,SAN LUIS,AR-74,5361.086192
2003,ARGENTINA,AR,BANDA,AR-86035,SANTIAGO DEL ESTERO,AR-86,3561.821818
